title,authors,description,published_date
Research Methods for the Digital Humanities,"lewis levenberg,Tai Neilson,David Rheams","This volume introduces the reader to the wide range of methods that digital humanities employ, and offers a practical guide to the study, interpretation, and presentation of cultural material and practices. In this instance, the editors consider digital humanities to include both the use of computing to understand cultural material in new ways, and the application of theories and methods from the humanities to interpret new technologies. Each chapter provides a step-by-step guide to cutting-edge methodologies so that students can make informed decisions about the methods they use, consider ethical practices, follow practical procedures, and present their work effectively. Readers will develop practical and reflexive understandings of the software and digital devices that they study and use for research, and the book will help new researchers collaborate and contribute to their scholarly communities, and to public discourse. As contemporary humanities work becomes increasingly interdisciplinary, and increasingly permeated by and with digital technologies, this volume helps new researchers navigate an evolving academic environment. Humanities and social sciences students will find this textbook an invaluable resource for assessing and creating digital projects.",2018-11-04
A New Companion to Digital Humanities,"Susan Schreibman,Ray Siemens,John Unsworth","This highly-anticipated volume has been extensively revised to reflect changes in technology, digital humanities methods and practices, and institutional culture surrounding the valuation and publication of digital scholarship. A fully revised edition of a celebrated reference work, offering the most comprehensive and up-to-date collection of research currently available in this rapidly evolving discipline Includes new articles addressing topical and provocative issues and ideas such as retro computing, desktop fabrication, gender dynamics, and globalization Brings together a global team of authors who are pioneers of innovative research in the digital humanities Accessibly structured into five sections exploring infrastructures, creation, analysis, dissemination, and the future of digital humanities Surveys the past, present, and future of the field, offering essential research for anyone interested in better understanding the theory, methods, and application of the digital humanities",2016-01-26
Defining Digital Humanities,Dr Edward Vanhoutte,"This reader brings together the essential readings that have emerged in Digital Humanities. It provides a historical overview of how the term ‘Humanities Computing’ developed into the term ‘Digital Humanities’, and highlights core readings which explore the meaning, scope, and implementation of the field. To contextualize and frame each included reading, the editors and authors provide a commentary on the original piece. There is also an annotated bibliography of other material not included in the text to provide an essential list of reading in the discipline.",2013-12-23
Digital Humanities in Practice,"Claire Warwick,Melissa Terras,Julianne Nyhan","This cutting-edge and comprehensive introduction to digital humanities explains the scope of the discipline and state of the art and provides a wide-ranging insight into emerging topics and avenues of research. Each chapter interweaves the expert commentary of leading academics with analysis of current research and practice, exploring the possibilities and challenges that occur when culture and digital technologies intersect. International case studies of projects ranging from crowdsourced manuscript transcription to computational reconstruction of frescoes are included in each chapter, providing a wealth of information and inspiration. QR codes within each chapter link to a dedicated website where additional content, such as further case studies, is located. Key topics covered include: • studying users and readers • social media and crowdsourcing • digitization and digital resources • image processing in the digital humanities • 3D recording and museums • electronic text and text encoding • book history, texts and digital editing • open access and online teaching of digital humanities • institutional models for digital humanities. Readership: This is an essential practical guide for academics, researchers, librarians and professionals involved in the digital humanities. It will also be core reading for all humanities students and those taking courses in the digital humanities in particular.",2012-10-09
Digital Humanities,"David M. Berry,Anders Fagerjord","As the twenty-first century unfolds, computers challenge the way in which we think about culture, society and what it is to be human: areas traditionally explored by the humanities. In a world of automation, Big Data, algorithms, Google searches, digital archives, real-time streams and social networks, our use of culture has been changing dramatically. The digital humanities give us powerful theories, methods and tools for exploring new ways of being in a digital age. Berry and Fagerjord provide a compelling guide, exploring the history, intellectual work, key arguments and ideas of this emerging discipline. They also offer an important critique, suggesting ways in which the humanities can be enriched through computing, but also how cultural critique can transform the digital humanities. Digital Humanities will be an essential book for students and researchers in this new field but also related areas, such as media and communications, digital media, sociology, informatics, and the humanities more broadly.",2017-05-30
The Digital Humanities and the Digital Modern,James Smithies,"This book provides new critical and methodological approaches to digital humanities, intended to guide technical development as well as critical analysis. Informed by the history of technology and culture and new perspectives on modernity, Smithies grounds his claims in the engineered nature of computing devices and their complex entanglement with our communities, our scholarly traditions, and our sense of self. The distorting mentalité of the digital modern informs our attitudes to computers and computationally intensive research, leading scholars to reject articulations of meaning that admit the interdependence of humans and the complex socio-technological systems we are embedded in. By framing digital humanities with the digital modern, researchers can rebuild our relationship to technical development, and seek perspectives that unite practical and critical activity. This requires close attention to the cyber-infrastructures that inform our research, the software-intensive methods that are producing new knowledge, and the ethical issues implicit in the production of digital humanities tools and methods. The book will be of interest to anyone interested in the intersection of technology with humanities research, and the future of digital humanities.",2017-08-28
Research Methods for Reading Digital Data in the Digital Humanities,Gabriele Griffin,"The first volume to introduce the techniques and methods of reading digital material for researchDigital Humanities has become one of the new domains of academe at the interface of technological development, epistemological change, and methodological concerns. This volume explores how digital material might be read or utilized in research, whether that material is digitally born as fanfiction, for example, mostly is, or transposed from other sources. The volume asks questions such as what happens when text is transformed from printed into digital matter, and how that impacts on the methods we bring to bear on exploring that technologized matter, for example in the case of digital editions. Issues such as how to analyse visual material in digital archives or Twitter feeds, how to engage in data mining, what it means to undertake crowd-sourcing, big data, and what digital network analyses can tell us about online interactions are dealt with. This will give Humanities researchers ideas for doing digitally based research and also suggest ways of engaging with new digital research methods. Key featuresFirst volume centred on the navigation and interpretation of digital material as research methods in the HumanitiesUp-to-date analyses of issues and methods including big data, crowdsourcing, digital network analysis, working with digital additionsBased on actual research projects such as para-textual work with fanfiction, reading twitter, different kinds of distant and close readings",2016-02-15
Doing Digital Humanities,"Constance Crompton,Richard J Lane,Ray Siemens","Digital Humanities is rapidly evolving as a significant approach to/method of teaching, learning and research across the humanities. This is a first-stop book for people interested in getting to grips with digital humanities whether as a student or a professor. The book offers a practical guide to the area as well as offering reflection on the main objectives and processes, including: Accessible introductions of the basics of Digital Humanities through to more complex ideas A wide range of topics from feminist Digital Humanities, digital journal publishing, gaming, text encoding, project management and pedagogy Contextualised case studies Resources for starting Digital Humanities such as links, training materials and exercises Doing Digital Humanities looks at the practicalities of how digital research and creation can enhance both learning and research and offers an approachable way into this complex, yet essential topic.",2016-09-13
The Emergence of the Digital Humanities,Steven E. Jones,"The past decade has seen a profound shift in our collective understanding of the digital network. What was once understood to be a transcendent virtual reality is now experienced as a ubiquitous grid of data that we move through and interact with every day, raising new questions about the social, locative, embodied, and object-oriented nature of our experience in the networked world. In The Emergence of the Digital Humanities, Steven E. Jones examines this shift in our relationship to digital technology and the ways that it has affected humanities scholarship and the academy more broadly. Based on the premise that the network is now everywhere rather than merely ""out there,"" Jones links together seemingly disparate cultural events—the essential features of popular social media, the rise of motion-control gaming and mobile platforms, the controversy over the ""gamification"" of everyday life, the spatial turn, fabrication and 3D printing, and electronic publishing—and argues that cultural responses to changes in technology provide an essential context for understanding the emergence of the digital humanities as a new field of study in this millennium.",2013-08-15
Understanding Digital Humanities,D. Berry,"Confronting the digital revolution in academia, this book examines the application of new computational techniques and visualisation technologies in the Arts & Humanities. Uniting differing perspectives, leading and emerging scholars discuss the theoretical and practical challenges that computation raises for these disciplines.",2012-02-07
A Companion to Digital Humanities,"Susan Schreibman,Ray Siemens,John Unsworth","This Companion offers a thorough, concise overview of the emerging field of humanities computing. Contains 37 original articles written by leaders in the field. Addresses the central concerns shared by those interested in the subject. Major sections focus on the experience of particular disciplines in applying computational methods to research problems; the basic principles of humanities computing; specific applications and methods; and production, dissemination and archiving. Accompanied by a website featuring supplementary materials, standard readings in the field and essays to be included in future editions of the Companion.",2008-04-15
Digital humanities. Meet the media guru,Jeffrey Schnapp,NA,2015
Collaborative Research in the Digital Humanities,"Willard Mccarty,Marilyn Deegan","Collaboration within digital humanities is both a pertinent and a pressing topic as the traditional mode of the humanist, working alone in his or her study, is supplemented by explicitly co-operative, interdependent and collaborative research. This is particularly true where computational methods are employed in large-scale digital humanities projects. This book, which celebrates the contributions of Harold Short to this field, presents fourteen essays by leading authors in the digital humanities. It addresses several issues of collaboration, from the multiple perspectives of institutions, projects and individual researchers.",2016-05-23
Transformative Digital Humanities,"Mary McAleer Balkun,Marta Mestrovic Deyrup","Transformative Digital Humanities takes a two-pronged approach to the digital humanities: it examines the distinct kinds of work currently being undertaken in the field, while also addressing current issues in the digital humanities, including sustainability, accessibility, interdisciplinarity, and funding. With contributions from humanities and LIS scholars based in China, Canada, England, Germany, Spain, and the United States, this collection of case studies provides a framework for readers to develop new projects as well as to see how existing projects might continue to develop over time. This volume also participates in the current digital humanities conversation by bringing forward emerging voices that offer new options for cooperation, by demonstrating how the digital humanities can become a tool for activism, and by illustrating the potential of the digital humanities to reexamine and reconstitute existing canons. Transformative Digital Humanities considers what sorts of challenges still exist in the field and suggests how they might be addressed. As such, the book will be essential reading for academics and students engaged in the study of information science and digital humanities. It should also be of great interest to practitioners around the globe.",2020-04-23
Digital Humanities and Research Methods in Religious Studies,"Christopher D. Cantwell,Kristian Petersen","This volume provides practical, but provocative, case studies of exemplary projects that apply digital technology or methods to the study of religion. An introduction and 16 essays are organized by the kinds of sources digital humanities scholars use – texts, images, and places – with a final section on the professional and pedagogical issues digital scholarship raises for the study of religion.",2021-02-22
The Digital Humanities Coursebook,Johanna Drucker,"The Digital Humanities Coursebook provides critical frameworks for the application of digital humanities tools and platforms, which have become an integral part of work across a wide range of disciplines. Written by an expert with twenty years of experience in this field, the book is focused on the principles and fundamental concepts for application, rather than on specific tools or platforms. Each chapter contains examples of projects, tools, or platforms that demonstrate these principles in action. The book is structured to complement courses on digital humanities and provides a series of modules, each of which is organized around a set of concerns and topics, thought experiments and questions, as well as specific discussions of the ways in which tools and platforms work. The book covers a wide range of topics and clearly details how to integrate the acquisition of expertise in data, metadata, classification, interface, visualization, network analysis, topic modeling, data mining, mapping, and web presentation with issues in intellectual property, sustainability, privacy, and the ethical use of information. Written in an accessible and engaging manner, The Digital Humanities Coursebook will be a useful guide for anyone teaching or studying a course in the areas of digital humanities, library and information science, English, or computer science. The book will provide a framework for direct engagement with digital humanities and, as such, should be of interest to others working across the humanities as well.",2021-03-25
Digital Humanities Pedagogy,Brett D. Hirsch,"""The essays in this collection offer a timely intervention in digital humanities scholarship, bringing together established and emerging scholars from a variety of humanities disciplines across the world. The first section offers views on the practical realities of teaching digital humanities at undergraduate and graduate levels, presenting case studies and snapshots of the authors' experiences alongside models for future courses and reflections on pedagogical successes and failures. The next section proposes strategies for teaching foundational digital humanities methods across a variety of scholarly disciplines, and the book concludes with wider debates about the place of digital humanities in the academy, from the field's cultural assumptions and social obligations to its political visions."" (4e de couverture).",2012
