,Citation
0,http://cacm.acm.org/magazines/2013/12/169933-data-science-and-prediction/fulltext
1,https://www.springer.com/book/9784431702085
2,https://books.google.com/books?id=oGs_AQAAIAAJ
3,https://hbr.org/2012/10/data-scientist-the-sexiest-job-of-the-21st-century/
4,http://www.datascienceassn.org/about-data-science
5,https://www.oreilly.com/library/view/doing-data-science/9781449363871/ch01.html
6,https://medriscoll.com/post/4740157098/the-three-sexy-skills-of-data-geeks
7,https://flowingdata.com/2009/06/04/rise-of-the-data-scientist/
8,https://benfry.com/phd/dissertation/2.html
9,https://magazine.amstat.org/blog/2015/10/01/asa-statement-on-the-role-of-statistics-in-data-science/
10,https://www.statisticsviews.com/article/nate-silver-what-i-need-from-statisticians/
11,http://priceonomics.com/whats-the-difference-between-data-science-and/
12,https://statmodeling.stat.columbia.edu/2013/11/14/statistics-least-important-part-data-science/
13,http://courses.csail.mit.edu/18.337/2015/docs/50YearsDataScience.pdf
14,https://www2.isye.gatech.edu/~jeffwu/publications/fazhan.pdf
15,https://doi.org/10.3390%2Fbdcc2020014
16,https://doi.org/10.1145%2F3076253
17,http://www2.isye.gatech.edu/~jeffwu/presentations/datascience.pdf
18,https://www.forbes.com/sites/gilpress/2013/05/28/a-very-short-history-of-data-science/
19,https://www.stat.purdue.edu/~wsc/
20,https://magazine.amstat.org/blog/2016/06/01/datascience-2/
21,https://hbr.org/2012/10/data-scientist-the-sexiest-job-of-the-21st-century
22,https://www.nsf.gov/pubs/2005/nsb0540/
23,https://www.forbes.com/sites/gilpress/2013/08/19/data-science-whats-the-half-life-of-a-buzzword/
24,https://www.forbes.com/sites/peterpham/2015/08/28/the-impacts-of-big-data-that-you-may-not-have-heard-of/
25,https://towardsdatascience.com/how-data-science-will-impact-future-of-businesses-7f11f5699c4d
